GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transcodex-ffmpeg,io.transcodex.ffmpeg.metadata,FfprobeMetadataExtractor,26,76,4,4,6,19,3,4,0,3
transcodex-ffmpeg,io.transcodex.ffmpeg.metadata,JacksonMetadataParser,66,347,26,48,17,71,26,17,0,6
transcodex-ffmpeg,io.transcodex.ffmpeg.executor,ProcessBuilderExecutor,9,99,0,6,5,20,0,8,0,5
transcodex-ffmpeg,io.transcodex.ffmpeg.executor,CommandResult,0,27,0,2,0,5,0,3,0,2
transcodex-ffmpeg,io.transcodex.ffmpeg.video,FfmpegThumbnailGenerator,12,130,2,4,4,32,1,5,0,3
transcodex-ffmpeg,io.transcodex.ffmpeg.video,FfmpegVideoTranscoder,12,171,3,9,4,41,2,7,0,3
